S.No.,Pin Code,City Name,State,Country,Is Active
1,574187,Mangalore,Karnataka,India,FALSE
2,100018,West Delhi,Delhi,India,TRUE
3,100058,South Delhi,Delhi,India,TRUE
4,100070,West Delhi,Delhi,India,TRUE
5,110001,New Delhi,Delhi,India,TRUE
6,110002,New Delhi,Delhi,India,TRUE
7,110003,New Delhi,Delhi,India,TRUE
8,110004,New Delhi,Delhi,India,TRUE
9,110005,New Delhi,Delhi,India,TRUE
10,110006,Central Delhi,Delhi,India,TRUE
11,110007,North Delhi,Delhi,India,TRUE
12,110008,New Delhi,Delhi,India,TRUE
13,110009,North West Delhi,Delhi,India,TRUE
14,110010,South West Delhi,Delhi,India,TRUE
15,110011,New Delhi,Delhi,India,TRUE
16,110012,New Delhi,Delhi,India,TRUE
17,110013,South Delhi,Delhi,India,TRUE
18,110014,South Delhi,Delhi,India,TRUE
19,110015,New Delhi,Delhi,India,TRUE
20,110016,South West Delhi,Delhi,India,TRUE
21,110017,South Delhi,Delhi,India,TRUE
22,110018,West Delhi,Delhi,India,TRUE
23,110019,South Delhi,Delhi,India,TRUE
24,110020,New Delhi,Delhi,India,TRUE
25,110021,South West Delhi,Delhi,India,TRUE
26,110022,South West Delhi,Delhi,India,TRUE
27,110023,South West Delhi,Delhi,India,TRUE
28,110024,South Delhi,Delhi,India,TRUE
29,110025,South Delhi,Delhi,India,TRUE
30,110026,New Delhi,Delhi,India,TRUE
31,110027,New Delhi,Delhi,India,TRUE
32,110028,New Delhi,Delhi,India,TRUE
33,110029,South West Delhi,Delhi,India,TRUE
34,110030,South West Delhi,Delhi,India,TRUE
35,110031,East Delhi,Delhi,India,TRUE
36,110032,East Delhi,Delhi,India,TRUE
37,110033,North West Delhi,Delhi,India,TRUE
38,110034,North West Delhi,Delhi,India,TRUE
39,110035,North West Delhi,Delhi,India,TRUE
40,110036,North West Delhi,Delhi,India,TRUE
41,110037,South West Delhi,Delhi,India,TRUE
42,110038,South West Delhi,Delhi,India,TRUE
43,110039,North West Delhi,Delhi,India,TRUE
44,110040,North West Delhi,Delhi,India,TRUE
45,110041,New Delhi,Delhi,India,TRUE
46,110042,North West Delhi,Delhi,India,TRUE
47,110043,New Delhi,Delhi,India,TRUE
48,110044,South Delhi,Delhi,India,TRUE
49,110045,New Delhi,Delhi,India,TRUE
50,110046,New Delhi,Delhi,India,TRUE
51,110047,South West Delhi,Delhi,India,TRUE
52,110048,South Delhi,Delhi,India,TRUE
53,110049,South Delhi,Delhi,India,TRUE
54,110050,New Delhi,Delhi,India,TRUE
55,110051,East Delhi,Delhi,India,TRUE
56,110052,North West Delhi,Delhi,India,TRUE
57,110053,East Delhi,Delhi,India,TRUE
58,110054,New Delhi,Delhi,India,TRUE
59,110055,New Delhi,Delhi,India,TRUE
60,110056,North West Delhi,Delhi,India,TRUE
61,110057,South West Delhi,Delhi,India,TRUE
62,110058,New Delhi,Delhi,India,TRUE
63,110059,New Delhi,Delhi,India,TRUE
64,110060,New Delhi,Delhi,India,TRUE
65,110061,South West Delhi,Delhi,India,TRUE
66,110062,South Delhi,Delhi,India,TRUE
67,110063,New Delhi,Delhi,India,TRUE
68,110064,New Delhi,Delhi,India,TRUE
69,110065,South Delhi,Delhi,India,TRUE
70,110066,South West Delhi,Delhi,India,TRUE
71,110067,South West Delhi,Delhi,India,TRUE
72,110068,South West Delhi,Delhi,India,TRUE
73,110069,New Delhi,Delhi,India,TRUE
74,110070,South West Delhi,Delhi,India,TRUE
75,110071,New Delhi,Delhi,India,TRUE
76,110072,New Delhi,Delhi,India,TRUE
77,110073,New Delhi,Delhi,India,TRUE
78,110074,South West Delhi,Delhi,India,TRUE
79,110075,New Delhi,Delhi,India,TRUE
80,110076,South Delhi,Delhi,India,TRUE
81,110077,New Delhi,Delhi,India,TRUE
82,110078,New Delhi,Delhi,India,TRUE
83,110079,New Delhi,Delhi,India,TRUE
84,110080,South Delhi,Delhi,India,TRUE
85,110081,North West Delhi,Delhi,India,TRUE
86,110082,North West Delhi,Delhi,India,TRUE
87,110083,North West Delhi,Delhi,India,TRUE
88,110084,New Delhi,Delhi,India,TRUE
89,110085,North West Delhi,Delhi,India,TRUE
90,110086,North West Delhi,Delhi,India,TRUE
91,110087,New Delhi,Delhi,India,TRUE
92,110088,North West Delhi,Delhi,India,TRUE
93,110089,North West Delhi,Delhi,India,TRUE
94,110090,North East Delhi,Delhi,India,TRUE
95,110091,East Delhi,Delhi,India,TRUE
96,110092,East Delhi,Delhi,India,TRUE
97,110093,North East Delhi,Delhi,India,TRUE
98,110094,North West Delhi,Delhi,India,TRUE
99,110095,East Delhi,Delhi,India,TRUE
100,110096,East Delhi,Delhi,India,TRUE
101,110097,South West Delhi,Delhi,India,TRUE
102,110098,New Delhi,Delhi,India,TRUE
103,111045,Pune,Maharashtra,India,TRUE
104,120011,Ghaziabad,Uttar Pradesh,India,TRUE
105,121001,Faridabad,Haryana,India,TRUE
106,121002,Faridabad,Haryana,India,TRUE
107,121003,Faridabad,Haryana,India,TRUE
108,121004,Ballabgarh,Haryana,India,TRUE
109,121005,Faridabad,Haryana,India,TRUE
110,121006,Faridabad,Haryana,India,TRUE
111,121007,Faridabad,Haryana,India,TRUE
112,121008,Faridabad,Haryana,India,TRUE
113,121009,Faridabad,Haryana,India,TRUE
114,121010,Faridabad,Haryana,India,TRUE
